"plot_id","inv_date","azimuth","fuelload_litter_tonha","fuelload_duff_tonha","fuelload_1h_tonha","fuelload_10h_tonha","fuelload_100h_tonha","fuelload_1000h_tonha","fuelload_1000s_tonha","fuelload_1000r_tonha","fuelload_surface_tonha","fuelload_total_tonha"
"0040-00002",2001-06-01,129,31.8362207083634,52.6475238958212,0.970590034801748,3.03186999847,0,7.94290140823645,0,7.94290140823645,43.7815821498716,96.4291060456928
"0040-00002",2001-06-01,190,21.224147138909,30.0842993690407,1.06158285056441,2.52655833205833,3.43525705050942,14.6295275937416,0,14.6295275937416,42.8770729657828,72.9613723348235
"0040-00002",2003-06-01,190,21.1895967749149,7.51448138015722,0.87815264658099,5.56235571645127,0,12.3975201730004,0,12.3975201730004,40.0276253109476,47.5421066911048
"0040-00002",2003-06-01,129,21.1895967749149,30.0579255206289,2.24080330506873,6.06802441794684,3.42260890585986,4.90228738867009,0,4.90228738867009,37.8233207924604,67.8812463130893
"0040-00002",2009-06-01,190,10.4052060120988,59.263724436011,0.901743827485087,5.65328845132939,3.53713437205009,0,0,0,20.4973726629634,79.7610970989743
"0040-00002",2009-06-01,129,0,51.8557588815096,2.02209221920898,5.18218108038528,0,0,0,0,7.20427329959426,59.0600321811038
"0040-00003",2001-06-01,296,25.6844522519448,14.6331377013294,0.191567143908472,0,0,4.86962591906918,0,4.86962591906918,30.7456453149225,45.3787830162519
"0040-00003",2001-06-01,228,18.3460373228177,21.9497065519941,0.23945892988559,0,3.46073533308183,22.7383359030916,0,22.7383359030916,44.7845674888768,66.7342740408709
"0040-00003",2003-06-01,228,14.6853496974443,80.4826722048836,0.526561834930509,0,3.45781434167704,56.618474477968,0,56.618474477968,75.2882003520198,155.770872556903
"0040-00003",2003-06-01,296,11.0140122730832,29.2664262563213,0.813777381256242,0,3.45781434167704,4.0240564660958,0,4.0240564660958,19.3096604621123,48.5760867184336
"0040-00003",2009-06-01,228,18.4552272807293,80.6919199809338,1.82641025060946,1.99043091190862,3.48238422015513,37.4753024618524,0,37.4753024618524,63.229755125255,143.921675106189
"0040-00003",2009-06-01,296,7.38209091229174,51.3494036242306,0.0434859583478444,0,0,0,0,0,7.42557687063958,58.7749804948702
"0040-00005",2001-06-01,93,34.3104596411395,146.119062636478,0.297985912851721,1.01281991763047,3.80794581203825,21.4193180252146,0,21.4193180252146,60.8485293088745,206.967591945353
"0040-00005",2001-06-01,272,29.408965406691,107.666677732142,0.212847080608372,1.5192298764457,3.80794581203825,8.17902124970388,0,8.17902124970388,43.1280094254872,150.794687157629
"0040-00005",2003-06-01,93,63.6805563047003,84.542925101808,0.169918406888327,3.03977060663814,7.59984474991057,25.3033614864171,0,25.3033614864171,99.7934515545545,184.336376656362
"0040-00005",2003-06-01,272,34.2895303179156,69.1714841742065,0.169918406888327,7.09279808215565,22.7995342497317,18.6637594323812,0,18.6637594323812,83.0155404890725,152.187024663279
"0040-00005",2009-06-01,272,52.4983570851125,83.7924650214698,0.156362591240316,0.467961851452396,7.54401529679852,0,0,0,60.6666968246037,144.459161846073
"0040-00005",2009-06-01,93,52.4983570851125,76.1749682013362,0.312725182480633,3.74369481161917,0,9.12220368565251,0,9.12220368565251,65.6769807648648,141.851948966201
"0040-00007",2001-06-01,224,33.1909081096828,66.3000521409614,1.43787816756481,2.0752321724944,0,0,0,0,36.704018449742,103.004070590703
"0040-00007",2001-06-01,336,33.1909081096828,58.9333796808546,0.978980880044128,2.594040215618,3.01603479091804,16.9071575216687,0,16.9071575216687,56.6871215179316,115.620501198786
"0040-00007",2003-06-01,167,9.44334483105069,44.2141777221641,0.827327044662994,0.518955317269518,0,0,0,0,10.7896271929832,55.0038049151473
"0040-00007",2003-06-01,332,18.8866896621014,73.6902962036069,0.888610529452845,2.07582126907807,6.01596761384144,14.4138223920733,7.62828865569085,6.78553373638243,42.280911466547,115.971207670154
"0040-00007",2009-06-01,167,13.5679359197599,102.447511162711,0.477863914037167,3.84195709315908,3.02756578630639,0,0,0,20.9153227132626,123.362833875973
"0040-00007",2009-06-01,332,9.04529061317329,87.8121524251805,0.597329892546458,6.72342491302839,3.02756578630639,13.6032731261196,4.71512926981778,8.88814385630181,32.9968843311741,120.809036756355
"0060-00021",2001-06-01,143,26.5265490626801,79.4475921074679,2.48791432513043,7.68122469492742,0,10.1350973426479,10.1350973426479,0,46.8307854253858,126.278377532854
"0060-00021",2001-06-01,350,15.1580280358172,63.5580736859743,1.46347901478261,2.56040823164247,3.67487739659323,21.2985177968259,0,21.2985177968259,44.1553104756614,107.713384161636
"0060-00021",2003-06-01,143,1.89928996350503,15.8736487041517,0.535132282345248,0.512239792334783,0,0,0,0,2.94666203818506,18.8203107423368
"0060-00021",2003-06-01,350,0,15.8736487041517,0.924319396778155,1.02447958466957,7.33584623147566,0,0,0,9.28464521292338,25.1582939170751
"0060-00021",2009-06-01,350,10.9171060654395,7.98191154711276,0.849847274300175,8.00698767157582,3.86598007773876,18.5533806116661,18.5533806116661,0,42.1933017007204,50.1752132478332
"0060-00021",2009-06-01,143,18.1951767757326,0,0.519351112072329,5.65199129758293,7.73196015547752,135.709405165693,36.4110094503948,99.298395715298,167.807884506558,167.807884506558
"0060-00027",2001-06-01,34,6.24737839244241,24.8486071807096,1.21233267712844,5.52914520875688,13.5926896600748,3.34491075128275,0,3.34491075128275,29.9264566896852,54.7750638703948
"0060-00027",2001-06-01,175,31.236891962212,41.4143453011827,1.49758742468807,12.440576719703,13.5926896600748,13.2416890369688,13.2416890369688,0,72.0094348036466,113.423780104829
